t2m,ssrd,e,sp,tp,year
277.29285,3131412.0,0.00030044094,97800.625,0.0017620316,1974
276.57672,4690008.0,0.0010115942,97040.44,0.0052461713,1974
279.2521,10824857.0,0.0014145011,97388.8,0.0022572344,1974
281.7743,16904724.0,0.0024929661,97375.414,0.0015539039,1974
284.07626,17102084.0,0.0029089479,97414.12,0.0023794523,1974
287.1029,20556276.0,0.0035209516,97493.65,0.0012453098,1974
287.7962,17905294.0,0.003105118,97751.78,0.0022991386,1974
290.10132,15321298.0,0.0025046542,97681.37,0.0025372251,1974
285.92657,12863168.0,0.0019155107,97290.56,0.0012274714,1974
278.3601,6598658.5,0.0012054937,97089.375,0.0037668778,1974
278.23593,3344624.0,0.00065682177,97320.71,0.0043534366,1974
277.92072,2055760.0,0.00037617236,98070.34,0.003089291,1974
277.805,2673148.0,0.00046699494,97718.85,0.00208529,1975
275.59613,5375178.0,0.0007520085,98281.41,0.0020904199,1975
276.42642,8614570.0,0.0012023114,96805.93,0.0030835115,1975
279.78275,16635916.0,0.0024441155,97491.05,0.0010727422,1975
283.92657,18317504.0,0.0028739441,97565.08,0.0021213498,1975
287.60907,17968412.0,0.0030098613,97725.16,0.0028345478,1975
290.7431,16127724.0,0.0028735064,97696.89,0.0022361346,1975
292.42242,15798408.0,0.0029144706,97722.14,0.0024101867,1975
288.21182,9611824.0,0.0019150786,97626.87,0.0033959264,1975
281.0588,4889365.0,0.0009848308,98098.14,0.00438089,1975
277.41406,3386556.0,0.000779178,97571.36,0.0034173427,1975
273.83282,1828280.0,0.00051960815,98282.7,0.0030387086,1975
275.2154,2403684.0,0.0005516093,97776.53,0.0024259922,1976
274.73135,7855174.0,0.0007554516,97856.4,0.0005883509,1976
275.7487,8728480.0,0.0010392331,97807.97,0.0031896401,1976
280.40692,13205906.0,0.0018693982,97600.375,0.00225359,1976
285.78156,17529770.0,0.0027616108,97573.34,0.0019990958,1976
291.55966,19278244.0,0.0033060052,97982.875,0.0021347443,1976
292.93878,19727992.0,0.0034391703,97609.42,0.0020234515,1976
290.77856,17357010.0,0.0030047568,97866.234,0.0019485183,1976
286.2755,10336390.0,0.0019074632,97466.14,0.0037891439,1976
283.8116,7201324.5,0.00095840916,96811.84,0.0008089423,1976
278.34082,3373168.0,0.0004930049,97611.08,0.00317059,1976
273.20172,2411852.0,0.00020011794,96924.32,0.00095732365,1976
274.27695,2570696.0,0.00045924727,97134.54,0.0017571532,1977
277.08038,6095124.0,0.00037370715,96848.086,0.0013858795,1977
279.469,11613033.0,0.0011104206,97779.22,0.0008140743,1977
278.53247,16634392.0,0.0023148973,97448.984,0.0011235237,1977
283.9427,19871790.0,0.0031241626,97451.23,0.0013349261,1977
287.49847,23523432.0,0.003285531,97429.14,0.00044719258,1977
289.50705,19961188.0,0.0027827723,97460.9,0.0023068027,1977
288.46204,18524122.0,0.0021044528,97371.79,0.0006554717,1977
285.16986,10237410.0,0.0015065549,98216.875,0.0027449215,1977
283.9843,6782751.5,0.0010486655,97743.36,0.002242332,1977
278.0337,2994868.0,0.00066571403,97092.484,0.0037208383,1977
276.17938,2736440.0,0.00028901268,97827.45,0.0021165193,1977
274.10553,2879392.0,0.0002598837,97131.73,0.003112158,1978
272.7544,4832646.0,0.00075289514,96677.87,0.0050570094,1978
278.34976,9501946.0,0.0012281546,97167.195,0.0017889644,1978
279.50742,13358576.0,0.0019273907,96989.73,0.0024593084,1978
284.3119,18090258.0,0.0030112825,97352.055,0.0022879522,1978
286.85037,16129328.0,0.002876182,97425.05,0.0034989985,1978
288.13623,17600992.0,0.0031573,97602.3,0.0027693135,1978
287.733,13668572.0,0.0023951111,97827.35,0.0033352545,1978
285.43896,11670747.0,0.0017440515,97845.734,0.0007160057,1978
282.64404,7048286.0,0.0010108752,98200.54,0.0014924868,1978
276.85266,3506192.0,0.0007892987,98546.33,0.003779707,1978
